,Unnamed: 0,tweet_text,tweet_label,claim,tweet_date,num_hashtags,hashtag_text,has_link,polarity,subjective,pos_words,neg_words,misinfo_words,debunk_words,misinfo_hashtags,debunk_hashtags,hyperpartisan,followers,verified
0,0,#AI #ML #5G I @rvp @7gtech @5gaiot @C4ISRT endorse tweet alum @iitkanpur @carnegiemellon @cmuengineering @cmu_mse @CMU_ECE @cmu_robotics @iotcommunity @iotchannel #IoTPL ranked 2nd #IoT @onalytica rated 19th #Telecom amp 42nd #IIoT 44th #CloudComputing ever turn back facemask recognition arrivedâfor better worse via @natgeo #COVID19 #privacy #AI #FacialRecognition #data cc @dig_revolution @psb_dc @terence_mills @leimer @barbmaclean,IRRELEVANT,Masks donÕt prevent COVID-19 transmission,"Sep 12, 2020 @ 11:54:18.000",13,AI ML 5G IoTPL IoT Telecom IIoT CloudComputing COVID19 privacy AI FacialRecognition data,TRUE,positive,TRUE,4,3,10,5,2,1,0,3884,FALSE
1,1,nonsense like takeover morons wearing masks going say pandemic exposed nonsense absolute embarrassment unbelievable millions people gullible I suggest put traffic cones heads #Scamdemic #Propaganda #maskmorons #NoMasks,MISINFO,Masks donÕt prevent COVID-19 transmission,"Sep 23, 2020 @ 21:26:06.000",4,Scamdemic Propaganda maskmorons NoMasks,FALSE,negative,TRUE,5,4,12,9,3,1,0,1577,FALSE
2,2,gets better players tested positive even sick #Scamdemic letâs hope cardinals marlins covid experiences serve cautionary taleswakeup calls singling anyone 2 teams good job social distancing wearing masks careful importantly hope everyone gets better,MISINFO,COVID-19 doesn't make you sick,"Aug 8, 2020 @ 01:44:21.000",1,Scamdemic,FALSE,positive,TRUE,8,3,20,13,1,1,0,390,FALSE
3,3,brazil face consequences business corrupt CCP PLA huawei CCP espionage unrestricted warfare china longer allowed steal information illegal china longer abusive towards countries stop CCP #US ambassador #Brazil said country may face âœconsequencesâ allows #Chinaâs #Huawei #5G network referring US warnings china fails protect #IntellectualProperty,IRRELEVANT,coronavirus caused by 5G.,"Aug 2, 2020 @ 01:52:57.000",6,US Brazil Chinaâs Huawei 5G IntellectualProperty,TRUE,negative,TRUE,2,6,20,12,2,0,0,56,FALSE
4,4,hue cry everywhere face masks mandates wear remember extant scientific research failed establish efficacy public health strategy wearing masks #CCPVirus #FactsMatter #facemasks,MISINFO,Masks donÕt prevent COVID-19 transmission,"Aug 19, 2020 @ 18:03:35.000",3,CCPVirus FactsMatter facemasks,TRUE,negative,TRUE,5,4,15,8,2,2,0,2340,FALSE
5,5,#COVID19 6 amp DONE #Plandemic youre still wearing masks gloves treating fellow human beings like lepers issue COVID youre addicted adrenaline spike fear need therapist bill gates vaccine scam successful fear powerful drug,MISINFO,BIll Gates contributed to the spread of coronavirus.,"Sep 2, 2020 @ 01:52:59.000",2,COVID19 Plandemic,TRUE,negative,TRUE,6,5,20,13,2,1,0,345,FALSE
6,6,train bournemouth everyone loudly complaining masks know itâs bollocks @borisjohnson #coronabollocks,MISINFO,Masks donÕt prevent COVID-19 transmission,"Aug 8, 2020 @ 08:09:06.000",1,coronabollocks,FALSE,negative,TRUE,1,1,4,4,1,0,0,106,FALSE
7,8,@ian56789 A stupid face mask wow really #FakePandemic,COMMENT,Masks donÕt prevent COVID-19 transmission,"Sep 11, 2020 @ 15:31:02.000",1,FakePandemic,TRUE,positive,TRUE,2,2,4,3,1,0,0,7030,FALSE
8,9,dont #Research #PropagandaWatch via @youtube #Forbes #Propaganda #LiesLiesLies #COVID19 #Coronavirus #Plandemic #BillGates #Lockdown #Vaccines #Science #Censorship #Experts #Authority #Masks #CDC #WHO #Hypocrisy,MISINFO,The pandemic is a hoax,"Aug 6, 2020 @ 00:35:32.000",19,Research PropagandaWatch Forbes Propaganda LiesLiesLies COVID19 Coronavirus Plandemic BillGates Lockdown Vaccines Science Censorship Experts Authority Masks CDC WHO Hypocrisy,TRUE,negative,TRUE,0,0,2,2,11,6,0,219,FALSE
9,10,@sallymcmanus people still whinging loudly many still wearing masks suburb think joke triggered glance tyrant rage defend right wear policing sight #COVIDIOTS #CovidVic @vicgovdhhs #COVID19Aus,COMMENT,Masks donÕt prevent COVID-19 transmission,"Aug 17, 2020 @ 06:44:19.000",3,COVIDIOTS CovidVic COVID19Aus,FALSE,negative,TRUE,4,3,9,9,1,1,0,242,FALSE
10,11,@irenejoycekim @planetjoseph donât forget wear jesus jammies clothingin 100 degree weather masks much #covidiots,COMMENT,Masks donÕt prevent COVID-19 transmission,"Sep 17, 2020 @ 20:53:08.000",1,covidiots,FALSE,negative,TRUE,2,3,6,4,1,1,0,200,FALSE
11,12,happening australia future grim ðÿ australia wholly owned subsidiary china embracing artificial intelligence âkeep people apartâ canât discuss COVID #Plandemic push back unhealthy masks next step freezing access bank accounts people talk,MISINFO,The pandemic is a hoax,"Aug 5, 2020 @ 09:22:09.000",1,Plandemic,TRUE,negative,TRUE,4,4,19,7,1,0,0,597,FALSE
12,14,3 debates rage wearing masks immunity #CCPvirus #COVID19 actual infection rates,RELEVANT,Masks donÕt prevent COVID-19 transmission,"Aug 17, 2020 @ 18:33:00.000",2,CCPvirus COVID19,TRUE,negative,TRUE,4,4,6,5,2,1,0,4980,FALSE
13,15,#ElectionInfection continues coronavirus real deadly DC mayor @mayorbowser exempted government employees state federal mask mandates stipulate masks must worn everywhere always I ignored every order #Scamdemic,RELEVANT,Masks donÕt prevent COVID-19 transmission,"Aug 4, 2020 @ 18:21:49.000",2,ElectionInfection Scamdemic,FALSE,negative,TRUE,2,4,18,8,1,1,0,33,FALSE
14,16,SPOT ON 50âs face house arrest lockdown likely tightened due fears second spike #COVIDIOTS government instance try amp I think youâll grey rebellion anyone needs locking itâs young people ignore social distancing,COMMENT,Lockdowns and face masks do not work to control the COVID-19 pandemic,"Aug 2, 2020 @ 13:42:05.000",1,COVIDIOTS,TRUE,negative,TRUE,3,4,17,15,1,1,0,109,FALSE
15,17,scary must everything prevent hospitalisation ICU #Covid19 #Coronavirus #SARSCoV2 #Masks #Hydroxychloroquine #Ivermectin brain ðÿ #COVID19 crit care fabulous review N140 pts helm whopping 84 #DELIRIUM see microhemorrhages MRI amp CSF cell counts profiles #MedTwitter #TipsForNewDocs #pulmcc,IRRELEVANT,Lockdowns and face masks do not work to control the COVID-19 pandemic,"Aug 10, 2020 @ 08:01:35.000",11,Covid19 Coronavirus SARSCoV2 Masks Hydroxychloroquine Ivermectin COVID19 DELIRIUM MedTwitter TipsForNewDocs pulmcc,TRUE,positive,TRUE,5,4,6,9,7,7,0,45,FALSE
16,18,@davidicke hows #NoMask going u shops david trick wear scarf around neck noone bats eyelid bank clerk said thats supposed cover face said keeps slipping thats staying speechless ðÿ #Plandemic #Covid19Hoax,RELEVANT,Masks donÕt prevent COVID-19 transmission,"Jul 31, 2020 @ 18:34:24.000",3,NoMask Plandemic Covid19Hoax,FALSE,negative,TRUE,0,3,12,11,2,0,0,633,FALSE
17,19,good celebrating living lives instead cowering behind fungus spit ridden masks ðÿðÿ @GMB @drhilaryjones @piersmorgan @susannareid100 I saw photos friend celebrating mumâs 60th birthday weekend toddlers 70 yr olds around 20 people cuddling photos zero social distancing restaurant shocking see complete disregard amp wider community #COVIDIOTS,COMMENT,Masks donÕt prevent COVID-19 transmission,"Sep 8, 2020 @ 08:04:47.000",1,COVIDIOTS,TRUE,positive,TRUE,7,5,17,13,1,1,0,26695,FALSE
18,20,donât worry #COVIDIOTS believe anything brainwashed ðÿ even I mask I sneeze I cover mouth amp sneeze shirt would I sneeze piece cloth amp keep sneeze droplets face iâm dumb enough,COMMENT,Masks donÕt prevent COVID-19 transmission,"Aug 7, 2020 @ 21:48:33.000",1,COVIDIOTS,FALSE,negative,TRUE,3,1,16,13,1,1,0,293,FALSE
19,21,@renee53211 I agree I hate still going onas long frightened ones continue face muzzles constantly reminded ðÿ #NoMasks #FakePandemic #OpenAmericaNow,COMMENT,Masks donÕt prevent COVID-19 transmission,"Aug 10, 2020 @ 02:54:21.000",3,NoMasks FakePandemic OpenAmericaNow,FALSE,negative,TRUE,4,3,8,6,2,0,0,1696,FALSE
20,22,@realmattcouch @shirleyringuet5 #ChineseVirus hoax #HealthDepartments LIE abt # ppl R positive @cdcgov #Hospitals #AMERICANS cant TRUST #s reported shouldnt forced wear MASKS,MISINFO,The pandemic is a hoax,"Aug 30, 2020 @ 02:00:47.000",5,ChineseVirus HealthDepartments Hospitals AMERICANS s,FALSE,positive,TRUE,1,3,9,1,1,0,0,6185,FALSE
21,24,playing victim daily pretending youâd censored truth youâre spectacle gonna share fuck imbecilic tweet weâll never stop spotlighting ignorant #unsubstantiatedclaims remind us dangers face #BlueTsunami I taking #Hydroxychloroquine treat coronavirus diagnosis decided best course action doctor menot government bureaucrats long tech tyrants censor tweet,MISINFO,hydroxychloroquine is effective in healing and preventing COVID-19,"Aug 1, 2020 @ 16:38:24.000",3,unsubstantiatedclaims BlueTsunami Hydroxychloroquine,FALSE,positive,TRUE,8,7,19,10,1,1,0,4353,FALSE
22,25,never masks control #DNC2020 #RNC2020 #BidenHarris #TrumpPence #MAGA #COVID19 #Plandemic #woke #Control #masks,MISINFO,The pandemic is a hoax,"Aug 18, 2020 @ 17:32:41.000",10,DNC2020 RNC2020 BidenHarris TrumpPence MAGA COVID19 Plandemic woke Control masks,FALSE,neutral,FALSE,0,1,3,2,4,2,0,1878,FALSE
23,26,deriving sadistic pleasure sometimes feels awesome know dysfunctional ones planet #fightagainstcoronavirus #COVIDIOT NO masks NO social distancing NO problem russians got vodka PS NO online media condemning reckless act imagine event USA india press would go nuts #COVIDIOTS #NoMask #SocialDistancing #violation #Russia #HalfMarathon,RELEVANT,The pandemic is a hoax,"Aug 3, 2020 @ 21:58:04.000",8,fightagainstcoronavirus COVIDIOT COVIDIOTS NoMask SocialDistancing violation Russia HalfMarathon,TRUE,negative,TRUE,7,12,13,8,2,3,0,165,FALSE
24,27,pelosi corrupt deep state player must taken #plandemic #PelosiMustGo #DemsAreDestroyingAmerica #TRUMP2020ToSaveAmerica pelosi used shuttered san francisco hair salon blowout owner calls slap face fox news,COMMENT,The pandemic is a hoax,"Sep 1, 2020 @ 23:30:44.000",4,plandemic PelosiMustGo DemsAreDestroyingAmerica TRUMP2020ToSaveAmerica,TRUE,positive,TRUE,3,2,10,5,1,1,0,1695,FALSE
25,28,wouldnât ironic hospital learns reason likes men gay likes masks antigay antimask arkansas senator called coronavirus âhoaxâ gets COVID19 heâs hospital treated coronavirus pneumonia I really dont care #COVIDIOTS #FreshTweets,IRRELEVANT,Masks donÕt prevent COVID-19 transmission,"Aug 1, 2020 @ 04:18:10.000",2,COVIDIOTS FreshTweets,TRUE,positive,TRUE,8,2,11,9,1,1,0,0,FALSE
26,29,people mocking president trumps intellect 156 IQ btw voice people wearing masks irony ðÿ #Trump2020 #masksdontwork #Plandemic,COMMENT,Masks donÕt prevent COVID-19 transmission,"Aug 16, 2020 @ 10:54:14.000",3,Trump2020 masksdontwork Plandemic,FALSE,positive,TRUE,2,1,6,6,2,0,0,1980,FALSE
27,30,@nationalpost bc citizens right fight right party dix kook henry fraudster mask tampon face feminize condition donât get tested cause bc donât really test stay away hospitals donât give telephone # like 1999 #scamdemic imo,IRRELEVANT,The pandemic is a hoax,"Sep 17, 2020 @ 01:26:01.000",1,scamdemic,FALSE,negative,TRUE,5,0,23,16,1,0,0,31,FALSE
28,31,@radiocleary @jonathanvswan scarlet minister health @donnellystephen ðÿââï come back @simonharristd forgiven even @leovaradkar cred @michealmartintd needs listen #NPHET advice enforce mandatory wearing masks #WearAMask #maskingforafriend #COVID19 #COVIDIOTS,IRRELEVANT,Masks donÕt prevent COVID-19 transmission,"Aug 20, 2020 @ 16:28:45.000",5,NPHET WearAMask maskingforafriend COVID19 COVIDIOTS,FALSE,positive,TRUE,3,2,10,9,2,2,0,2068,FALSE
29,32,everything proper way follow herd done needs done properly masks worn every way right way #COVIDIOTS #Masks #SafeSeptember try simple hack make surgical face mask fit better via @cnbcmakeit,DEBUNK,Masks donÕt prevent COVID-19 transmission,"Sep 5, 2020 @ 11:13:17.000",3,COVIDIOTS Masks SafeSeptember,TRUE,positive,TRUE,5,4,19,25,2,3,0,32,FALSE
